Date,Day,Kenya,Cumul
1,1,347,347
3,16,633,980
4,22,356,1336
5,29,205,1541
6,37,249,1790
7,43,205,1995
8,51,628,2623
9,58,467,3090
10,65,451,3541
11,Missing,790,4331
12,80,1129,5460
13,85,50,5510
14,95,632,6142
16,106,253,6395
17,Missing,501.5,6896.5
18,120,750,7646.5
19,128,561,8207.5
20,135,149,8356.5
21,142,468,8824.5
22,Missing,346,9170.5
23,157,224,9394.5
24,164,158,9552.5
25,Missing,145.3333333,9697.833333
26,Missing,132.6666667,9830.5
27,185,120,9950.5
28,191,102,10052.5
